,edge_list
0,"V0,V2"
1,"V0,V4"
2,"V0,V8"
3,"V0,V10"
4,"V0,V11"
5,"V0,V13"
6,"V0,V14"
7,"V0,V17"
8,"V0,V20"
9,"V0,V24"
10,"V0,V36"
11,"V0,V40"
12,"V0,V51"
13,"V0,V129"
14,"V0,V131"
15,"V0,V133"
16,"V0,V137"
17,"V0,V147"
18,"V0,V149"
19,"V0,V78"
20,"V0,V83"
21,"V0,V84"
22,"V0,V86"
23,"V0,V91"
24,"V0,V96"
25,"V0,V100"
26,"V0,V104"
27,"V0,V109"
28,"V0,V117"
29,"V0,V121"
30,"V0,V122"
31,"V0,V124"
32,"V0,V125"
33,"V0,V127"
34,"V1,V4"
35,"V1,V5"
36,"V1,V19"
37,"V1,V20"
38,"V1,V22"
39,"V1,V23"
40,"V1,V24"
41,"V1,V39"
42,"V1,V132"
43,"V1,V135"
44,"V1,V88"
45,"V1,V93"
46,"V1,V96"
47,"V1,V98"
48,"V1,V100"
49,"V1,V103"
50,"V1,V106"
51,"V1,V112"
52,"V1,V115"
53,"V1,V116"
54,"V1,V117"
55,"V1,V124"
56,"V2,V7"
57,"V2,V12"
58,"V2,V14"
59,"V2,V22"
60,"V2,V23"
61,"V2,V30"
62,"V2,V53"
63,"V2,V56"
64,"V2,V61"
65,"V2,V64"
66,"V2,V67"
67,"V2,V133"
68,"V2,V136"
69,"V2,V138"
70,"V2,V142"
71,"V2,V143"
72,"V2,V144"
73,"V2,V146"
74,"V2,V77"
75,"V2,V83"
76,"V2,V96"
77,"V2,V101"
78,"V2,V104"
79,"V2,V105"
80,"V2,V115"
81,"V2,V119"
82,"V2,V121"
83,"V2,V127"
84,"V3,V5"
85,"V3,V14"
86,"V3,V20"
87,"V3,V23"
88,"V3,V24"
89,"V3,V48"
90,"V3,V129"
91,"V3,V132"
92,"V3,V137"
93,"V3,V139"
94,"V3,V83"
95,"V3,V84"
96,"V3,V85"
97,"V3,V93"
98,"V3,V96"
99,"V3,V103"
100,"V3,V104"
101,"V3,V107"
102,"V3,V118"
103,"V3,V123"
104,"V3,V124"
105,"V3,V127"
106,"V4,V5"
107,"V4,V9"
108,"V4,V15"
109,"V4,V21"
110,"V4,V26"
111,"V4,V71"
112,"V4,V128"
113,"V4,V130"
114,"V4,V131"
115,"V4,V133"
116,"V4,V134"
117,"V4,V135"
118,"V4,V137"
119,"V4,V139"
120,"V4,V142"
121,"V4,V143"
122,"V4,V146"
123,"V4,V147"
124,"V4,V149"
125,"V4,V77"
126,"V4,V82"
127,"V4,V87"
128,"V4,V89"
129,"V4,V90"
130,"V4,V93"
131,"V4,V95"
132,"V4,V100"
133,"V4,V109"
134,"V4,V114"
135,"V4,V119"
136,"V4,V123"
137,"V4,V126"
138,"V5,V9"
139,"V5,V15"
140,"V5,V20"
141,"V5,V22"
142,"V5,V26"
143,"V5,V29"
144,"V5,V47"
145,"V5,V57"
146,"V5,V133"
147,"V5,V139"
148,"V5,V141"
149,"V5,V143"
150,"V5,V78"
151,"V5,V82"
152,"V5,V85"
153,"V5,V89"
154,"V5,V95"
155,"V5,V99"
156,"V5,V100"
157,"V5,V102"
158,"V5,V104"
159,"V5,V105"
160,"V5,V106"
161,"V5,V110"
162,"V6,V9"
163,"V6,V12"
164,"V6,V14"
165,"V6,V17"
166,"V6,V23"
167,"V6,V44"
168,"V6,V46"
169,"V6,V49"
170,"V6,V50"
171,"V6,V55"
172,"V6,V58"
173,"V6,V128"
174,"V6,V132"
175,"V6,V133"
176,"V6,V134"
177,"V6,V135"
178,"V6,V139"
179,"V6,V141"
180,"V6,V144"
181,"V6,V146"
182,"V6,V77"
183,"V6,V83"
184,"V6,V86"
185,"V6,V99"
186,"V6,V103"
187,"V6,V105"
188,"V6,V109"
189,"V6,V116"
190,"V6,V119"
191,"V6,V127"
192,"V7,V9"
193,"V7,V15"
194,"V7,V16"
195,"V7,V19"
196,"V7,V20"
197,"V7,V21"
198,"V7,V23"
199,"V7,V129"
200,"V7,V142"
201,"V7,V146"
202,"V7,V148"
203,"V7,V86"
204,"V7,V88"
205,"V7,V95"
206,"V7,V98"
207,"V7,V109"
208,"V7,V113"
209,"V7,V119"
210,"V7,V123"
211,"V7,V124"
212,"V8,V10"
213,"V8,V11"
214,"V8,V13"
215,"V8,V14"
216,"V8,V20"
217,"V8,V21"
218,"V8,V31"
219,"V8,V37"
220,"V8,V59"
221,"V8,V61"
222,"V8,V66"
223,"V8,V69"
224,"V8,V74"
225,"V8,V128"
226,"V8,V129"
227,"V8,V130"
228,"V8,V135"
229,"V8,V144"
230,"V8,V83"
231,"V8,V86"
232,"V8,V87"
233,"V8,V91"
234,"V8,V93"
235,"V8,V94"
236,"V8,V96"
237,"V8,V97"
238,"V8,V98"
239,"V8,V104"
240,"V8,V118"
241,"V8,V125"
242,"V9,V13"
243,"V9,V17"
244,"V9,V18"
245,"V9,V22"
246,"V9,V50"
247,"V9,V55"
248,"V9,V133"
249,"V9,V135"
250,"V9,V137"
251,"V9,V143"
252,"V9,V145"
253,"V9,V146"
254,"V9,V78"
255,"V9,V80"
256,"V9,V82"
257,"V9,V90"
258,"V9,V91"
259,"V9,V92"
260,"V9,V100"
261,"V9,V113"
262,"V9,V118"
263,"V9,V120"
264,"V9,V121"
265,"V9,V125"
266,"V9,V127"
267,"V10,V13"
268,"V10,V19"
269,"V10,V21"
270,"V10,V23"
271,"V10,V49"
272,"V10,V52"
273,"V10,V55"
274,"V10,V136"
275,"V10,V138"
276,"V10,V140"
277,"V10,V148"
278,"V10,V149"
279,"V10,V75"
280,"V10,V77"
281,"V10,V85"
282,"V10,V86"
283,"V10,V87"
284,"V10,V91"
285,"V10,V94"
286,"V10,V98"
287,"V10,V101"
288,"V10,V105"
289,"V10,V106"
290,"V10,V107"
291,"V10,V115"
292,"V10,V116"
293,"V10,V118"
294,"V10,V119"
295,"V10,V121"
296,"V10,V124"
297,"V10,V126"
298,"V10,V127"
299,"V11,V21"
300,"V11,V35"
301,"V11,V39"
302,"V11,V55"
303,"V11,V132"
304,"V11,V133"
305,"V11,V136"
306,"V11,V139"
307,"V11,V142"
308,"V11,V144"
309,"V11,V149"
310,"V11,V75"
311,"V11,V76"
312,"V11,V85"
313,"V11,V86"
314,"V11,V91"
315,"V11,V94"
316,"V11,V96"
317,"V11,V100"
318,"V11,V113"
319,"V11,V114"
320,"V11,V120"
321,"V11,V126"
322,"V11,V127"
323,"V12,V15"
324,"V12,V19"
325,"V12,V21"
326,"V12,V22"
327,"V12,V29"
328,"V12,V34"
329,"V12,V63"
330,"V12,V131"
331,"V12,V132"
332,"V12,V134"
333,"V12,V139"
334,"V12,V80"
335,"V12,V81"
336,"V12,V90"
337,"V12,V92"
338,"V12,V95"
339,"V12,V96"
340,"V12,V98"
341,"V12,V100"
